ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
P1001,Mobiles Edge 561,Electronics,Mobiles & Tablets,Novara,439.88,774.6
P1002,Mobiles Pro 598,Electronics,Mobiles & Tablets,Orbit,449.32,628.01
P1003,Mobiles Pro 783,Electronics,Mobiles & Tablets,Novara,758.66,1332.16
P1004,Mobiles Neo 433,Electronics,Mobiles & Tablets,Zenith,462.71,676.39
P1005,Laptops Classic 729,Electronics,Laptops & Computers,Zenith,235.37,421.6
P1006,Laptops Lite 823,Electronics,Laptops & Computers,Zenith,762.45,1052.14
P1007,Laptops Max 202,Electronics,Laptops & Computers,Nimbus,725.28,972.5
P1008,Laptops Classic 641,Electronics,Laptops & Computers,Zenith,466.3,675.0
P1009,Laptops Neo 363,Electronics,Laptops & Computers,Nimbus,438.11,627.77
P1010,Audio Pro 180,Electronics,Audio & Headphones,Crestline,536.77,678.88
P1011,Audio Edge 314,Electronics,Audio & Headphones,Pulse,458.74,687.04
P1012,Audio Plus 339,Electronics,Audio & Headphones,Crestline,596.83,1017.48
P1013,Audio Neo 732,Electronics,Audio & Headphones,Urban Edge,718.58,1111.1
P1014,Audio Lite 663,Electronics,Audio & Headphones,Novara,330.88,506.54
P1015,Audio Classic 709,Electronics,Audio & Headphones,Novara,612.87,823.67
P1016,Cameras Classic 475,Electronics,Cameras,Nimbus,219.89,411.86
P1017,Cameras Edge 340,Electronics,Cameras,Kindred,721.84,1124.46
P1018,Cameras Lite 383,Electronics,Cameras,Novara,506.95,816.25
P1019,Cameras Neo 306,Electronics,Cameras,Urban Edge,631.24,1164.89
P1020,Accessories Classic 563,Electronics,Accessories,Kindred,534.98,769.89
P1021,Accessories Max 860,Electronics,Accessories,Orbit,847.56,1471.86
P1022,Accessories Edge 771,Electronics,Accessories,Pulse,812.63,1065.68
P1023,Accessories Max 747,Electronics,Accessories,Orbit,848.19,1390.69
P1024,Men's Max 351,Apparel,Men's Wear,Novara,71.75,100.39
P1025,Men's Pro 743,Apparel,Men's Wear,Zenith,17.99,31.89
P1026,Men's Edge 382,Apparel,Men's Wear,Kindred,18.15,30.5
P1027,Men's Edge 476,Apparel,Men's Wear,Zenith,83.83,112.44
P1028,Women's Lite 845,Apparel,Women's Wear,Urban Edge,84.51,111.63
P1029,Women's Edge 932,Apparel,Women's Wear,Nimbus,51.52,76.94
P1030,Women's Neo 194,Apparel,Women's Wear,Orbit,79.13,140.92
P1031,Women's Pro 240,Apparel,Women's Wear,Urban Edge,19.99,27.13
P1032,Women's Plus 711,Apparel,Women's Wear,Orbit,17.47,28.55
P1033,Women's Lite 305,Apparel,Women's Wear,Urban Edge,49.37,69.31
P1034,Women's Pro 146,Apparel,Women's Wear,Nimbus,42.13,75.49
P1035,Kids Classic 800,Apparel,Kids Wear,Crestline,77.17,128.7
P1036,Kids Pro 154,Apparel,Kids Wear,Novara,50.17,71.4
P1037,Kids Max 716,Apparel,Kids Wear,Urban Edge,42.18,63.14
P1038,Kids Lite 281,Apparel,Kids Wear,Orbit,83.14,139.19
P1039,Kids Neo 218,Apparel,Kids Wear,Kindred,59.9,108.39
P1040,Kids Classic 465,Apparel,Kids Wear,Aster,67.51,119.53
P1041,Kids Max 253,Apparel,Kids Wear,Novara,73.2,120.82
P1042,Footwear Pro 937,Apparel,Footwear,Orbit,46.21,75.77
P1043,Footwear Pro 763,Apparel,Footwear,Orbit,15.19,22.28
P1044,Footwear Plus 493,Apparel,Footwear,Crestline,30.18,56.1
P1045,Footwear Lite 104,Apparel,Footwear,Crestline,53.35,100.89
P1046,Footwear Plus 111,Apparel,Footwear,Zenith,17.72,30.04
P1047,Footwear Plus 589,Apparel,Footwear,Novara,32.22,56.64
P1048,Winter Neo 660,Apparel,Winter Wear,Zenith,31.28,52.32
P1049,Winter Lite 689,Apparel,Winter Wear,Kindred,10.38,19.12
P1050,Winter Pro 701,Apparel,Winter Wear,Orbit,12.24,15.75
P1051,Winter Classic 553,Apparel,Winter Wear,Aster,71.31,94.93
P1052,Winter Edge 569,Apparel,Winter Wear,Kindred,77.79,133.14
P1053,Living Classic 792,Home & Furniture,Living Room,Novara,36.09,47.27
P1054,Living Plus 370,Home & Furniture,Living Room,Nimbus,317.95,592.95
P1055,Living Classic 216,Home & Furniture,Living Room,Novara,377.43,588.11
P1056,Living Max 467,Home & Furniture,Living Room,Orbit,135.79,206.08
